partei,n_direkt_mandate,n_listenstimmen
CDU,27,749216
AfD,28,719274
DIE LINKE,2,104888
GRÜNE,2,119964
SPD,0,172002
FDP,0,21003
FREIE WÄHLER,1,53008
Die PARTEI,0,19870
ÖDP,0,1966
BüSo,0,1580
dieBasis,0,4483
BÜNDNIS DEUTSCHLAND,0,6753
BSW,0,277173
FREIE SACHSEN,0,52195
WU,0,6469
Daniel Richter,0,0
"Ebermann, Frank Gottfried",0,0
Lösungen für unsere Region,0,0
PdF,0,0
parteilos und unabhängig,0,0
Roland Voigt,0,0
Team Zastrow,0,0
Thomas Ender,0,0
WIR sind LEIPZIGER,0,0
PIRATEN,0,6842
TIERSCHUTZ hier!,0,23576
Bündnis C,0,4368
V-Partei3,0,3286
